url;rating;number_of_reviews;longitude;latitude;menu_item;price
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Jablečný křen";"20 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"450g Zeleninový salát s grilovanou kukuřicí a plátky pečeného roastbeefu s pikantním dresingem a pečenými bramborami";"218 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"450g Zeleninový salát s filírovaným hovězím masem 100g, vejcem a francouzským dresingem, bylinkové krutony";"218 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"450g Zeleninový salát s trhanými listy salátů a gratinovaným kuřecím prsem, bylinkový dresing";"218 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"350g Trhané listy salátů s hruškou, opečenou sušenou šunkou a modrým sýrem, medovo-hořčičný dresings křupavou bagetou";"199 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"450g Vegetariánský salát";"218 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"300g Zeleninový salát s balkánským sýrem";"165 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"130g Tatarský biftek s čerstvým česnekem a křupavými topinkami /6ks/";"215 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Řezníkova tlačenka s čerstvou cibulkou a octem, čerstvý chléb";"89 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Grilovaný sýr na topince s divokými brusinkami";"89 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"Nakládaný hermelín s pikantní omáčkou, čerstvý chléb";"110 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"1ks Pečená klobása s křenem a hořčicí, čerstvý chléb";"95 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"300g Smažené grundle v paprikové mouce s citronem a česnekovou majonézou";"135 Kč"
