name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Pohostinství Chvalešovice;Jihočeský;https://www.firmy.cz/detail/13510823-pohostinstvi-chvalesovice-driten-chvalesovice.html;None;None;49.163403;14.305046;None;None
Horácká hospůdka;Jihočeský;https://www.firmy.cz/detail/13138687-horacka-hospudka-vsemyslice-vsetec.html;5;2;49.229377;14.327359;None;None
Hospoda Staďák;Jihočeský;https://www.firmy.cz/detail/12712806-hospoda-stadak-blatna.html;3.1;2;49.426476;13.878553;None;None
Zábořská hospoda;Jihočeský;https://www.firmy.cz/detail/13661162-zaborska-hospoda-zabori.html;4.9;14;48.990075;14.264703;None;None
Hostinec u Tomášků;Jihočeský;https://www.firmy.cz/detail/13514306-hostinec-u-tomasku-jilovice.html;3.4;5;48.890135;14.726241;None;None
Výčep Pod Skalou;Jihočeský;https://www.firmy.cz/detail/12983785-vycep-pod-skalou-bechyne.html;4.6;31;49.292101;14.469147;None;None
West bar;Jihočeský;https://www.firmy.cz/detail/13118785-west-bar-pisek-vaclavske-predmesti.html;5;1;49.308043;14.132113;None;None
Hostinec Přeseka;Jihočeský;https://www.firmy.cz/detail/13620947-hostinec-preseka-trebon-preseka.html;3.8;16;49.040844;14.731419;None;None
Hostinec U Stehlíků;Jihočeský;https://www.firmy.cz/detail/13065841-hostinec-u-stehliku-borovany-hluboka-u-borovan.html;5;5;48.900341;14.680610;None;None
Radikovaný hostinec U Roubalů;Jihočeský;https://www.firmy.cz/detail/12993898-radikovany-hostinec-u-roubalu-horni-porici-dolni-porici.html;5;6;49.285262;13.793871;None;None
Hostinec U kolejí;Jihočeský;https://www.firmy.cz/detail/13143491-hostinec-u-koleji-velesin.html;5;1;48.821748;14.433241;None;None
Hospoda U Rumcajse;Jihočeský;https://www.firmy.cz/detail/673218-hospoda-u-rumcajse-cesky-krumlov-vysny.html;5;1;48.833245;14.299726;None;None
Penzion Český Heršlák;Jihočeský;https://www.firmy.cz/detail/13787537-penzion-cesky-herslak-horni-dvoriste-cesky-herslak.html;4.6;30;48.598748;14.420359;None;None
Kralovická hospoda;Jihočeský;https://www.firmy.cz/detail/13119199-kralovicka-hospoda-nebahovy-kralovice.html;None;None;49.007690;14.090104;None;None
Hospoda Kačlehy;Jihočeský;https://www.firmy.cz/detail/13257807-hospoda-kaclehy-kaclehy.html;5;109;49.107460;15.077045;None;None
Hospůdka Kožlí;Jihočeský;https://www.firmy.cz/detail/13112669-hospudka-kozli-predotice-kozli-u-cizove.html;5;1;49.369253;14.018466;None;None
Hospoda u rybníka;Jihočeský;https://www.firmy.cz/detail/12983962-hospoda-u-rybnika-borovany.html;5;1;49.343745;14.391260;None;None
KD Zliv;Jihočeský;https://www.firmy.cz/detail/13849211-kd-zliv-zliv.html;3.5;2;49.064448;14.367818;None;None
Hostinec u Jana Žižky;Jihočeský;https://www.firmy.cz/detail/13114465-hostinec-u-jana-zizky-cejetice-sudomer.html;4.6;26;49.250126;14.050962;None;None
Hospoda Komárov 20;Jihočeský;https://www.firmy.cz/detail/13123446-hospoda-komarov-20-komarov.html;None;None;49.251180;14.594818;None;None
Hospoda U Kaštanu;Jihočeský;https://www.firmy.cz/detail/2255008-hospoda-u-kastanu-kovarov-predborice.html;5;2;49.547353;14.272939;None;None
Mahoušská hospoda;Jihočeský;https://www.firmy.cz/detail/13115137-mahousska-hospoda-mahous.html;None;None;49.047864;14.257594;None;None
Klub U Labužníka;Jihočeský;https://www.firmy.cz/detail/13135335-klub-u-labuznika-ceske-budejovice-2.html;None;None;48.986002;14.435415;None;None
Hospůdka pod Věncem;Jihočeský;https://www.firmy.cz/detail/13189547-hospudka-pod-vencem-lcovice.html;5;3;49.110016;13.861824;None;None
Jaroslava Latislavová - Hospoda;Jihočeský;https://www.firmy.cz/detail/13111739-jaroslava-latislavova-hospoda-stachy-ubislav.html;4.7;9;49.120745;13.666073;None;None
Hospůdka Na Růžku;Jihočeský;https://www.firmy.cz/detail/13211809-hospudka-na-ruzku-pisek-budejovicke-predmesti.html;3.8;6;49.304990;14.153490;None;None
Hospoda U Hřiště 271;Jihočeský;https://www.firmy.cz/detail/13114127-hospoda-u-hriste-271-tabor-cekanice.html;None;None;49.423223;14.676919;None;None
Hospoda Bělčice;Jihočeský;https://www.firmy.cz/detail/13141773-hospoda-belcice-belcice.html;5;1;49.504812;13.879126;None;None
U Charvátů;Jihočeský;https://www.firmy.cz/detail/13118835-u-charvatu-dvory-nad-luznici.html;4.5;20;48.852522;14.901597;None;None
Hostinec Na Růžku;Jihočeský;https://www.firmy.cz/detail/13099468-hostinec-na-ruzku-dubne.html;4.7;8;48.976661;14.359361;None;None
Hospoda Doubravice 82;Jihočeský;https://www.firmy.cz/detail/13119182-hospoda-doubravice-82-doubravice.html;None;None;49.351203;13.857928;None;None
Hostinec Štampach;Jihočeský;https://www.firmy.cz/detail/13077136-hostinec-stampach-stachy.html;4.4;22;49.102039;13.665849;None;None
Kozlovská hospoda;Jihočeský;https://www.firmy.cz/detail/13485482-kozlovska-hospoda-strelske-hostice-kozlov.html;2.9;19;49.298309;13.748720;None;None
Pivnice a Sportcentrum BOBELOVKA;Jihočeský;https://www.firmy.cz/detail/2604506-pivnice-a-sportcentrum-bobelovka-jindrichuv-hradec-otin.html;5;2;49.148257;15.037109;None;None
Hospoda Konibar;Jihočeský;https://www.firmy.cz/detail/13821017-hospoda-konibar-strelske-hostice.html;None;None;49.298116;13.755195;None;None
Hospůdka U Maxe;Jihočeský;https://www.firmy.cz/detail/13109245-hospudka-u-maxe-jindrichuv-hradec-ii.html;4.4;10;49.145267;15.009216;None;None
Restaurace u mostu;Jihočeský;https://www.firmy.cz/detail/13011653-restaurace-u-mostu-nova-pec-dlouhy-bor.html;3.3;62;48.792111;13.950398;None;None
SNACK BAR;Jihočeský;https://www.firmy.cz/detail/13115476-snack-bar-strakonice-i.html;5;2;49.259529;13.904172;None;None
Hostinec U Kopečků;Jihočeský;https://www.firmy.cz/detail/2223709-hostinec-u-kopecku-sevetin.html;4.1;2;49.100162;14.572364;None;None
Hospoda na hřišti;Jihočeský;https://www.firmy.cz/detail/13827815-hospoda-na-hristi-kunzak.html;None;None;49.118855;15.192005;None;None
Hospůdka na Americe;Jihočeský;https://www.firmy.cz/detail/13010700-hospudka-na-americe-rudolfov.html;4.9;19;48.989216;14.542719;None;None
Hostinec Hrachoviště;Jihočeský;https://www.firmy.cz/detail/12993149-hostinec-hrachoviste-hrachoviste.html;4.9;5;48.928645;14.774396;None;None
Žďárská hospoda;Jihočeský;https://www.firmy.cz/detail/13113551-zdarska-hospoda-zdar.html;4.8;2;49.232893;14.227239;None;None
Hosín 20;Jihočeský;https://www.firmy.cz/detail/13117722-hosin-20-hosin-dobrejovice.html;5;1;49.065624;14.484978;None;None
Hospoda na hřišti;Jihočeský;https://www.firmy.cz/detail/13758334-hospoda-na-hristi-sevetin.html;None;None;49.100587;14.564325;None;None
Hospůdka Frymburk;Jihočeský;https://www.firmy.cz/detail/13030577-hospudka-frymburk-frymburk.html;4;95;48.663026;14.168433;None;None
BOKEM, s.r.o.;Jihočeský;https://www.firmy.cz/detail/13132227-bokem-vetrni.html;None;None;48.775201;14.288986;None;None
HOSPŮDKA NA HŘIŠTI;Jihočeský;https://www.firmy.cz/detail/13011129-hospudka-na-hristi-vitin.html;4.9;3;49.090152;14.542401;None;None
Hostinec Boudy 21;Jihočeský;https://www.firmy.cz/detail/246116-hostinec-boudy-21-boudy.html;5;3;49.449145;14.035791;None;None
